,year,avg_time,gold_records,top10_records,std_time,ncompleted,nfinished,nstarted,disqualified
0,beijing-2008,1900-01-01 02:21:03.552631808,"0   1900-01-01 02:06:32
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:10:10.299999744,0 days 00:07:26.244219973,76,19,3,0
1,amsterdam-1928,1900-01-01 02:51:48.877192960,"0   1900-01-01 02:32:57
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:36:11.599999744,0 days 00:11:54.497327551,57,12,10,0
2,melbourne-1956,1900-01-01 02:41:42.181818112,"0   1900-01-01 02:25:00
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:29:50.900000000,0 days 00:10:22.829604233,33,13,2,0
3,sydney-2000,1900-01-01 02:23:34.580247040,"0   1900-01-01 02:10:11
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:12:33.099999744,0 days 00:10:34.499662415,81,19,0,0
4,athens-2004,1900-01-01 02:22:21.888889088,"0   1900-01-01 02:10:55
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:13:04.200000000,0 days 00:07:25.287940550,81,20,1,0
5,barcelona-1992,1900-01-01 02:25:51.632184064,"0   1900-01-01 02:13:23
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:14:18.100000000,0 days 00:14:20.678425145,87,23,2,0
6,munich-1972,1900-01-01 02:28:36.309677568,"0   1900-01-01 02:12:19.800
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:16:02.299999744,0 days 00:13:50.330826170,62,12,2,0
7,paris-1924,1900-01-01 03:07:38.193333504,"0   1900-01-01 02:41:22.600
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:51:36.960000000,0 days 00:16:07.990477985,30,28,13,0
8,tokyo-1964,1900-01-01 02:30:27.231034368,"0   1900-01-01 02:12:11.200
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:17:50.740000000,0 days 00:09:52.772021265,58,10,11,0
9,helsinki-1952,1900-01-01 02:39:45.101886720,"0   1900-01-01 02:23:03.200
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:27:29.740000000,0 days 00:09:35.899460539,53,13,2,0
10,london-2012,1900-01-01 02:20:35.505882368,"0   1900-01-01 02:08:01
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:10:55.500000000,0 days 00:08:00.449705596,85,20,0,0
11,seoul-1988,1900-01-01 02:29:55.153061120,"0   1900-01-01 02:10:32
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:12:07.400000000,0 days 00:15:28.254679237,98,20,0,0
12,antwerp-1920,1900-01-01 02:54:17.011428608,"0   1900-01-01 02:32:35.800
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:39:17.240000000,0 days 00:16:09.870091898,35,13,6,0
13,los-angeles-1984,1900-01-01 02:24:06.897435904,"0   1900-01-01 02:09:21
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:11:05.300000000,0 days 00:10:51.233865662,78,29,1,0
14,london-1908,1900-01-01 03:21:33.903703552,"0   1900-01-01 02:55:18.400
Name: time_record, dtype: datetime64[ns]",1900-01-01 03:02:49.519999744,0 days 00:20:53.714426286,27,27,16,1
15,st-louis-1904,1900-01-01 03:37:06.000000000,"0   1900-01-01 03:28:53
Name: time_record, dtype: datetime64[ns]",1900-01-01 03:37:06.000000000,0 days 00:09:31.897718127,14,18,8,0
16,atlanta-1996,1900-01-01 02:26:18.441441792,"0   1900-01-01 02:12:36
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:14:00.000000512,0 days 00:14:38.746759307,111,13,0,0
17,athens-1896,1900-01-01 03:03:49.333333248,"0   1900-01-01 02:58:50
Name: time_record, dtype: datetime64[ns]",1900-01-01 03:03:49.333333248,0 days 00:04:19.723571,9,7,5,1
18,rio-2016,1900-01-01 02:22:22.841726976,"0   1900-01-01 02:08:44
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:11:02.400000000,0 days 00:07:44.925383743,139,15,0,1
19,london-1948,1900-01-01 02:47:24.346666752,"0   1900-01-01 02:34:51.600
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:37:27.939999744,0 days 00:09:22.774586915,30,11,3,0
20,mexico-city-1968,1900-01-01 02:41:10.107017472,"0   1900-01-01 02:20:26.400
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:25:48.559999744,0 days 00:13:24.642239458,57,18,8,0
21,los-angeles-1932,1900-01-01 02:45:56.800000000,"0   1900-01-01 02:31:36
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:37:01.700000256,0 days 00:10:59.190540300,20,8,5,0
22,paris-1900,1900-01-01 03:33:14.200000000,"0   1900-01-01 02:59:45
Name: time_record, dtype: datetime64[ns]",1900-01-01 03:33:14.200000000,0 days 00:30:22.238650671,7,7,7,0
23,montreal-1976,1900-01-01 02:23:20.490000128,"0   1900-01-01 02:09:55
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:12:55.439999744,0 days 00:08:10.796268167,60,7,4,0
24,stockholm-1912,1900-01-01 02:59:54.797058816,"0   1900-01-01 02:36:54.800
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:42:47.749999872,0 days 00:16:16.727263034,34,34,30,0
25,berlin-1936,1900-01-01 02:54:10.985714432,"0   1900-01-01 02:29:19.200
Name: time_record, dtype: datetime64[ns]",1900-01-01 02:35:18.760000000,0 days 00:15:41.542758266,42,14,4,0
