,마라톤,year,기온,바람,습도,성별,금메달_기록,상위10위_평균_기록,상위500위_평균_기록
0,boston,2010,12,24,43,men,125.0,129.0,160.0
1,boston,2011,10,32,36,men,123.0,126.0,159.0
2,boston,2012,21,13,63,men,132.0,135.0,169.0
3,boston,2013,9,11,54,men,130.0,132.0,157.0
4,boston,2014,13,13,29,men,128.0,130.0,156.0
5,boston,2015,7,28,82,men,129.0,131.0,157.0
6,boston,2016,17,22,38,men,132.0,136.0,163.0
7,boston,2017,23,26,34,men,129.0,132.0,160.0
8,boston,2018,5,41,100,men,135.0,141.0,162.0
9,boston,2019,16,22,86,men,127.0,128.0,155.0
10,boston,2010,12,24,43,women,146.0,149.0,188.0
11,boston,2011,10,32,36,women,142.0,144.0,186.0
12,boston,2012,21,13,63,women,151.0,156.0,201.0
13,boston,2013,9,11,54,women,146.0,148.0,184.0
14,boston,2014,13,13,29,women,139.0,142.0,183.0
15,boston,2015,7,28,82,women,144.0,146.0,182.0
16,boston,2016,17,22,38,women,149.0,153.0,187.0
17,boston,2017,23,26,34,women,141.0,147.0,186.0
18,boston,2018,5,41,100,women,159.0,165.0,187.0
19,boston,2019,16,22,86,women,143.0,147.0,180.0
