year,city,country,gender,event,date,time,temp,wind,humidity
1896,Athina,GRE,Men,Marathon,10-Apr,,,,
1900,Paris,FRA,Men,Marathon,19-Jul,1430,,,
1904,St. Louis,USA,Men,Marathon,30-Aug,,,,
1906,Athina,GRE,Men,Marathon,01-May,1505,,,
1908,London,GBR,Men,Marathon,24-Jul,1433,,,
1912,Stockholm,SWE,Men,Marathon,14-Jul,1348,,,
1920,Antwerpen,BEL,Men,Marathon,22-Aug,1612,,,
1924,Paris,FRA,Men,Marathon,13-Jul,1700,,,
1928,Amsterdam,NED,Men,Marathon,05-Aug,1514,,,
1932,Los Angeles,USA,Men,Marathon,07-Aug,1530,,,
1936,Berlin,GER,Men,Marathon,09-Aug,1500,,,
1948,London,GBR,Men,Marathon,07-Aug,1500,,,
1952,Helsinki,FIN,Men,Marathon,27-Jul,1525,,,
1956,Melbourne,AUS,Men,Marathon,01-Dec,1515,,,
1960,Roma,ITA,Men,Marathon,10-Sep,1730,,,
1964,Tokyo,JPN,Men,Marathon,21-Oct,1300,,,
1968,Ciudad de M챕xico,MEX,Men,Marathon,20-Oct,1500,,,
1972,M체nchen,FRG,Men,Marathon,10-Sep,1500,,,
1976,Montr챕al,CAN,Men,Marathon,31-Jul,1730,,,
1980,Moskva,URS,Men,Marathon,01-Aug,1715,,,
1984,Los Angeles,USA,Men,Marathon,12-Aug,1715,,,
1984,Los Angeles,USA,Women,Marathon,05-Aug,800,,,
1988,Seoul,KOR,Women,Marathon,23-Sep,930,,,
1988,Seoul,KOR,Men,Marathon,02-Oct,1435,,,
1992,Barcelona,ESP,Men,Marathon,09-Aug,1830,,,
1992,Barcelona,ESP,Women,Marathon,01-Aug,1830,,,
1996,Atlanta,USA,Women,Marathon,28-Jul,705,,,
1996,Atlanta,USA,Men,Marathon,04-Aug,705,,,
2000,Sydney,AUS,Women,Marathon,24-Sep,900,,,
2000,Sydney,AUS,Men,Marathon,01-Oct,1600,,,
2004,Athina,GRE,Men,Marathon,29-Aug,1800,,,
2004,Athina,GRE,Women,Marathon,22-Aug,1800,,,
2008,Beijing,CHN,Men,Marathon,24-Aug,730,,,
2008,Beijing,CHN,Women,Marathon,17-Aug,730,,,
2012,London,GBR,Men,Marathon,12-Aug,1100,25,17,47
2012,London,GBR,Women,Marathon,05-Aug,1100,18,15,78
2016,Rio de Janeiro,BRA,Men,Marathon,21-Aug,930,21,9,94
2016,Rio de Janeiro,BRA,Women,Marathon,14-Aug,930,22,9,88
