,year,city,country,omaht,ommht,ommt,ommlt,omalt
0,1896,Athina,GRE,40 (105),20 (68),16 (60),12 (53),10 (50)
1,1900,Paris,FRA,40 (105),25 (77),21 (69),16 (60),6 (43)
2,1904,St. Louis,USA,43 (110),31 (88),26 (78),21 (69),8 (47)
3,1906,Athina,GRE,40 (105),25 (77),21 (69),16 (60),10 (50)
4,1908,London,GBR,37 (98),24 (74),19 (65),14 (57),7 (47)
5,1912,Stockholm,SWE,36 (97),22 (71),17 (63),13 (56),4 (40)
6,1920,Antwerpen,BEL,35 (95),23 (73),19 (66),15 (59),6 (43)
7,1924,Paris,FRA,40 (105),25 (77),21 (69),16 (60),6 (43)
8,1928,Amsterdam,NED,32 (90),22 (72),17 (64),12 (54),5 (41)
9,1932,Los Angeles,USA,41 (106),29 (84),24 (74),18 (64),9 (49)
10,1936,Berlin,GER,38 (100),24 (75),19 (67),14 (58),5 (42)
11,1948,London,GBR,37 (98),24 (74),19 (65),14 (57),7 (47)
12,1952,Helsinki,FIN,33 (92),22 (71),18 (64),14 (58),5 (42)
13,1956,Melbourne,AUS,41 (106),22 (72),19 (66),11 (52),3 (37)
14,1960,Roma,ITA,38 (99),27 (80),21 (69),15 (59),8 (48)
15,1964,Tokyo,JPN,33 (91),22 (71),18 (64),14 (58),-1 (31)
16,1968,Ciudad de México,MEX,29 (84),23 (73),17 (63),11 (52),0 (32)
17,1972,München,FRG,30 (86),19 (66),14 (57),9 (48),0 (32)
18,1976,Montréal,CAN,36 (96),25 (77),21 (69),17 (62),6 (43)
19,1980,Moskva,URS,38 (101),24 (76),19 (67),14 (58),1 (34)
20,1984,Los Angeles,USA,41 (106),29 (84),24 (74),18 (64),9 (49)
21,1988,Seoul,KOR,35 (95),26 (78),21 (70),17 (63),3 (38)
22,1992,Barcelona,ESP,33 (91),29 (83),24 (76),20 (68),12 (53)
23,1996,Atlanta,USA,41 (105),32 (89),27 (80),22 (71),12 (53)
24,2000,Sydney,AUS,35 (95),20 (68),15 (60),11 (52),5 (41)
25,2004,Athina,GRE,40 (105),34 (93),29 (84),24 (75),10 (50)
26,2008,Beijing,CHN,38 (101),30 (86),26 (78),21 (69),11 (53)
27,2012,London,GBR,37 (98),24 (74),19 (65),14 (57),7 (47)
28,2016,Rio de Janeiro,BRA,36 (97),26 (78),22 (71),19 (66),11 (51)
29,2020,Tokyo,JPN,39 (102),31 (87),26 (80),23 (73),15 (60)
