,year,gender,place,place_gender,name,bib,division,half,finish
0,2019,M,1,1,"Cherono, Lawrence (KEN)",4,30-34,01:02:15,02:05:45
1,2019,M,3,3,"Mengstu, Asefa (ETH)",5,30-34,01:02:15,02:05:48
2,2019,M,5,5,"Abdi, Bashir (BEL)",10,30-34,01:02:54,02:06:14
3,2019,M,7,7,"Chumba, Dickson (KEN)",6,30-34,01:02:14,02:09:11
4,2019,M,9,9,"Riley, Jacob (USA)",16,30-34,01:05:24,02:10:36
5,2019,M,11,11,"Stinson, Parker (USA)",23,25-29,01:05:25,02:10:53
6,2019,M,13,13,"Oishi, Minato (JPN)",11,30-34,01:05:24,02:11:02
7,2019,M,15,15,"Smith, Scott (USA)",15,20-24,01:05:25,02:11:14
8,2019,M,17,17,"Droddy, Noah (USA)",25,25-29,01:05:25,02:11:42
9,2019,M,19,19,"Estrada, Diego (USA)",19,25-29,01:05:26,02:11:54
10,2019,M,21,21,"Takeuchi, Ryoma (JPN)",12,25-29,01:05:25,02:12:26
11,2019,M,24,23,"Monroe, Alex (USA)",34,25-29,01:05:26,02:14:15
12,2019,M,26,25,"Milam, Willie (USA)",33,25-29,01:06:51,02:14:54
13,2019,M,28,27,"Peterson, Alan (USA)",28,25-29,01:07:57,02:14:56
14,2019,M,30,29,"Havel, Kevin (USA)",488,25-29,01:08:16,02:15:37
15,2019,M,32,31,"Sanabria-Diaz, Alvaro (CRC)",634,25-29,01:08:16,02:16:29
16,2019,M,34,33,"Root, Ryan (USA)",26,25-29,01:09:02,02:16:59
17,2019,M,36,35,"Herzig, Matthew (USA)",495,20-24,01:07:57,02:17:02
18,2019,M,38,37,"Neff, Jackson (USA)",30,25-29,01:08:16,02:17:21
19,2019,M,40,39,"Hansen, Kevin (USA)",484,35-39,01:09:01,02:18:25
20,2019,M,42,41,"Medina, Oscar (MEX)",568,25-29,01:08:22,02:18:45
21,2019,M,44,43,"Lustgarten, Brett (USA)",32,25-29,01:07:57,02:18:59
22,2019,M,46,45,"Gade, Noah (USA)",465,20-24,01:08:16,02:19:50
23,2019,M,48,47,"Eaton, Michael (USA)",29,30-34,01:09:02,02:19:58
24,2019,M,50,49,"Nally, Daniel (USA)",580,30-34,01:09:53,02:20:38
25,2019,M,54,51,"Hillard, Matthew (USA)",497,30-34,01:09:53,02:21:20
26,2019,M,56,53,"Sakamoto, Takaya (JPN)",632,40-44,01:09:54,02:21:32
27,2019,M,58,55,"Erskine, Andrew (USA)",457,25-29,01:09:53,02:21:41
28,2019,M,60,57,"Burkhardt, Glen (USA)",402,25-29,01:06:36,02:21:58
29,2019,M,62,59,"Ripley, Zachary (USA)",619,30-34,01:09:52,02:22:11
30,2019,M,64,61,"Hall, Benjamin (USA)",481,30-34,01:10:05,02:22:24
31,2019,M,66,63,"Rayner, Kenny (USA)",613,25-29,01:10:37,02:22:31
32,2019,M,68,65,"Price, Alex (USA)",606,25-29,01:10:04,02:22:33
33,2019,M,70,67,"Corby, Ryan (USA)",424,35-39,01:09:45,02:22:51
34,2019,M,72,69,"Ammons, Mitchell (USA)",17148,30-34,01:11:43,02:23:08
35,2019,M,74,71,"Abebe, Yonatan (USA)",14060,30-34,01:11:44,02:23:48
36,2019,M,76,73,"Glaz, Daniel (USA)",710,35-39,01:10:50,02:23:57
37,2019,M,78,75,"Arcos, Raul (USA)",17162,25-29,01:09:32,02:24:28
38,2019,M,80,77,"Craven, Jeremy (USA)",431,20-24,01:08:16,02:24:53
39,2019,M,82,79,"Hillyard, Matthew (USA)",499,30-34,01:11:40,02:24:56
40,2019,M,84,81,"Mance, Steven (USA)",552,35-39,01:12:29,02:25:14
41,2019,M,86,83,"Brosseau, Jason (USA)",399,30-34,01:12:57,02:25:17
42,2019,M,88,85,"Bakke, Morten Urdal (NOR)",5061,25-29,01:14:04,02:25:22
43,2019,M,91,87,"Haywas, Adrian (USA)",490,30-34,01:12:56,02:25:30
44,2019,M,93,89,"Wiersum, Matthew (USA)",686,30-34,01:13:15,02:25:32
45,2019,M,95,91,"Spector, Nicholas (USA)",656,25-29,01:09:53,02:25:44
46,2019,M,97,93,"Scanlon, Robert (USA)",639,25-29,01:12:56,02:26:00
47,2019,M,99,95,"Emberton, Caleb (USA)",456,30-34,01:11:31,02:26:04
48,2019,M,101,97,"Saito, Daiki (JPN)",703,25-29,01:09:53,02:26:21
49,2019,M,103,99,"Wilson, Mickey (USA)",12052,35-39,01:13:00,02:26:33
50,2019,M,105,101,"Waldum, Adam (USA)",680,25-29,01:14:56,02:26:45
51,2019,M,108,103,"Mason, Chris (GBR)",8008,35-39,01:13:34,02:27:01
52,2019,M,110,105,"Manning, Aaron (CAN)",553,25-29,01:13:46,02:27:17
53,2019,M,112,107,"Keller, Jonathan (USA)",524,25-29,01:11:45,02:27:37
54,2019,M,114,109,"Rasmussen, Jonas (DEN)",3038,25-29,01:14:32,02:27:43
55,2019,M,117,111,"Gonzalez, Omar (USA)",17171,25-29,01:10:55,02:27:50
56,2019,M,119,113,"Thornburg, Tim (USA)",14147,30-34,01:11:28,02:28:07
57,2019,M,122,115,"Anderson, Curtis (CAN)",358,25-29,01:13:46,02:28:41
58,2019,M,124,117,"Haynes, Stuart (GBR)",489,40-44,01:13:08,02:28:45
59,2019,M,126,119,"Corby, Rod (USA)",423,40-44,01:12:56,02:28:53
60,2019,M,128,121,"Leys, Dries (BEL)",547,40-44,01:14:54,02:28:56
61,2019,M,130,123,"Lesch, Eric (USA)",545,40-44,01:14:24,02:29:02
62,2019,M,133,125,"Van Ongeval, Tom (BEL)",18144,45-49,01:14:31,02:29:15
63,2019,M,135,127,"Hall, Brady (USA)",482,25-29,01:15:00,02:29:32
64,2019,M,137,129,"Johnson, Spencer (USA)",513,20-24,01:09:53,02:29:45
65,2019,M,140,131,"Thistle, Paul (USA)",663,30-34,01:10:56,02:29:54
66,2019,M,143,133,"Cuestas, Martin (URU)",27,30-34,01:07:44,02:30:34
