,year,gender,place,place_gender,name,bib,division,half,finish
0,2019,W,23,1,"Kosgei, Brigid (KEN)",101,25-29,01:06:59,02:14:04
1,2019,W,52,3,"Burka, Gelete (ETH)",102,30-34,01:09:10,02:20:55
2,2019,W,107,5,"Mccormack, Fionnuala (IRL)",112,35-39,01:12:56,02:26:47
3,2019,W,121,7,"Flanagan, Lindsay (USA)",111,25-29,01:12:59,02:28:08
4,2019,W,138,9,"Weightman, Lisa (AUS)",107,40-44,01:11:44,02:29:45
5,2019,W,158,11,"Perez, Madai (MEX)",105,35-39,01:13:32,02:31:44
6,2019,W,165,13,"Esser, Anke (GER)",125,25-29,01:13:52,02:32:06
7,2019,W,190,15,"Behm, Mia (USA)",721,25-29,01:15:52,02:33:52
8,2019,W,215,17,"Anderson, Lindsey (USA)",117,30-34,01:17:40,02:35:28
9,2019,W,221,19,"Roman-Duval, Julia (USA)",119,35-39,01:16:35,02:35:41
10,2019,W,239,21,"Jones, Lindy (USA)",514,25-29,01:18:37,02:36:59
11,2019,W,285,23,"Rouse, Gina (USA)",626,35-39,01:18:46,02:38:44
12,2019,W,306,25,"Heckert, Kristen (USA)",121,30-34,01:18:36,02:39:33
13,2019,W,352,27,"Diaz, Samantha (USA)",443,25-29,01:20:58,02:41:02
14,2019,W,357,29,"Rock, Missy (USA)",623,35-39,01:22:17,02:41:09
15,2019,W,360,31,"Stoltenburg, Tessa (USA)",657,25-29,01:22:17,02:41:15
16,2019,W,363,33,"Myers, Emily (USA)",579,25-29,01:17:48,02:41:16
17,2019,W,388,35,"Sizek, Julia (USA)",648,25-29,01:22:05,02:41:58
18,2019,W,402,37,"Lane, Nicole (USA)",539,25-29,01:21:05,02:42:26
19,2019,W,414,39,"Bogantes Gonzalez, Diana (CRC)",393,30-34,01:21:32,02:42:45
20,2019,W,422,41,"Kirkpatrick, Annmarie (USA)",126,35-39,01:17:47,02:42:55
21,2019,W,426,43,"Ko, Phebe (USA)",533,35-39,01:21:04,02:43:00
22,2019,W,434,45,"Liu, Ziyang (CHN)",549,35-39,01:20:52,02:43:10
23,2019,W,438,47,"Eberhard, Shari (USA)",452,25-29,01:21:04,02:43:13
24,2019,W,457,49,"Ruffo, Kerri (USA)",628,20-24,01:17:46,02:43:35
25,2019,W,461,51,"Victor, Jessa (USA)",678,25-29,01:21:04,02:43:42
26,2019,W,465,53,"Ripley, Andi (USA)",618,30-34,01:21:05,02:43:45
27,2019,W,470,55,"Dunn, Karen (USA)",450,40-44,01:22:14,02:43:59
28,2019,W,498,57,"Woodruff, Julie (USA)",694,30-34,01:22:05,02:44:18
29,2019,W,526,59,"Griffith, Gracie (USA)",473,20-24,01:20:16,02:44:52
30,2019,W,551,61,"Rivard, Susie (USA)",620,30-34,01:22:56,02:45:39
31,2019,W,556,63,"Labeaud, Natasha (CAN)",118,30-34,01:19:44,02:45:47
32,2019,W,576,65,"Zimmer, Lissa (USA)",701,25-29,01:22:33,02:46:13
33,2019,W,609,67,"Skatteboe, Karoline (NOR)",649,25-29,01:22:54,02:46:58
34,2019,W,620,69,"Lingar, Morgan (USA)",548,25-29,01:22:44,02:47:17
35,2019,W,657,71,"Kasabian-Larson, Sarah (USA)",518,35-39,01:21:04,02:47:55
