,index,year,gender,rank,country_code,name,time,notes
0,0,2016,men,G,KEN,eliud kipchoge,2:08:44.00,
1,2,2016,men,S,ETH,feyisa lilesa,2:09:54.00,
2,4,2016,men,B,USA,galen rupp,2:10:05.00,
3,6,2016,men,4,ERI,ghirmay ghebreslassie,2:11:04.00,
4,8,2016,men,5,TAN,alphonce felix simbu,2:11:15.00,
5,10,2016,men,6,USA,jared ward,2:11:30.00,
6,12,2016,men,7,SUI,tadesse abraham,2:11:42.00,
7,14,2016,men,8,UGA,munyo solomon mutai,2:11:49.00,
8,16,2016,men,9,GBR,callum hawkins,2:11:52.00,
9,18,2016,men,10,CAN,eric gillis,2:12:29.00,
10,20,2016,men,11,NED,abdi nageeye,2:13:01.00,
11,22,2016,men,12,DJI,mumin gala,2:13:04.00,
12,24,2016,men,13,ETH,lemi berhanu,2:13:29.00,
13,26,2016,men,14,UGA,stephen kiprotich,2:13:32.00,
14,28,2016,men,15,BRA,paulo roberto paula,2:13:56.00,
15,30,2016,men,16,JPN,satoru sasaki,2:13:57.00,
16,32,2016,men,17,TUR,kaan kigen ozbilen,2:14:11.00,
17,34,2016,men,18,ECU,bayron piedra,2:14:12.00,
18,36,2016,men,19,NOR,sondre nordstad moen,2:14:17.00,
19,38,2016,men,20,UKR,oleksandr sitkovskyy,2:14:24.00,
20,40,2016,men,21,ERI,amanuel mesel,2:14:37.00,
21,42,2016,men,22,BEL,koen naert,2:14:53.00,
22,44,2016,men,23,CAN,reid coolsaet,2:14:58.00,
23,46,2016,men,24,RSA,lusapho april,2:15:24.00,
24,48,2016,men,25,IND,thanackal gopi,2:15:25.00,
25,50,2016,men,26,IND,kheta ram,2:15:26.00,
26,52,2016,men,27,PRK,il chol pak,2:15:27.00,
27,54,2016,men,28,AZE,evans kiplagat barkowet,2:15:31.00,
28,56,2016,men,29,CHN,guojian dong,2:15:32.00,
29,58,2016,men,30,UKR,ihor olefirenko,2:15:36.00,
30,60,2016,men,31,AUS,liam adams,2:16:12.00,
31,62,2016,men,32,IRL,paul pollock,2:16:24.00,
32,64,2016,men,33,USA,mebrahtom keflezighi,2:16:46.00,
33,66,2016,men,34,SRI,anuradha indrajith cooray,2:17:06.00,
34,68,2016,men,35,DEN,abdi hakin ulad,2:17:06.00,
35,70,2016,men,36,JPN,suehiro ishikawa,2:17:08.00,
36,72,2016,men,37,ROU,marius ionescu,2:17:27.00,
37,74,2016,men,38,ITA,ruggero pertile,2:17:30.00,
38,76,2016,men,39,POL,artur kozlowski,2:17:34.00,
39,78,2016,men,40,URU,nicolas cuestas,2:17:44.00,
40,80,2016,men,41,ZIM,pardon ndhlovu,2:17:48.00,
41,82,2016,men,42,CHI,victor aravena,2:17:49.00,
42,84,2016,men,43,TAN,saidi juma makula,2:17:49.00,
43,86,2016,men,44,BEL,florent caelen,2:17:59.00,
44,88,2016,men,45,PER,raul machacuay,2:18:00.00,
45,90,2016,men,46,CUB,richer perez,2:18:05.00,
46,92,2016,men,47,AUS,michael shelley,2:18:06.00,
47,94,2016,men,48,UKR,ihor russ,2:18:19.00,
48,96,2016,men,49,ESP,carles castillejo,2:18:34.00,
49,98,2016,men,50,URU,ernesto andres zamora,2:18:36.00,
50,100,2016,men,51,TUR,ercan muslu,2:18:40.00,
51,102,2016,men,52,PER,cristhian pacheco,2:18:41.00,
52,104,2016,men,53,ARG,mariano mastromarino,2:18:44.00,
53,106,2016,men,54,MEX,daniel vargas,2:18:51.00,
54,108,2016,men,55,GER,philipp pflieger,2:18:56.00,
55,110,2016,men,56,BEL,willem van schuerbeeck,2:18:56.00,
56,112,2016,men,57,ITA,stefano la rosa,2:18:57.00,
57,114,2016,men,58,ZIM,cuthbert nyasango,2:18:58.00,
58,116,2016,men,59,BRA,marilson dos santos,2:19:09.00,
59,118,2016,men,60,ERI,tewelde estifanos,2:19:12.00,
60,120,2016,men,61,EST,roman fosti,2:19:26.00,
61,122,2016,men,62,TUN,atef saad,2:19:50.00,
62,124,2016,men,63,EST,tiidrek nurme,2:20:01.00,
63,126,2016,men,64,IRL,kevin seaward,2:20:06.00,
64,128,2016,men,65,ESP,jesus espana,2:20:08.00,
65,130,2016,men,66,PER,raul pacheco,2:20:13.00,
