,year,gender,rank,country_code,name,time,notes,country_x,ISO_x,Latitude (average)_x,Longitude (average)_x,country_y,ISO_y,Latitude (average)_y,Longitude (average)_y,country,ISO,Latitude (average),Longitude (average)
0,rio-2016,men,G,KEN,eliud kipchoge,2:08:44.00,,Kenya,KEN,1.0,38.0,Kenya,KEN,1.0,38.0,Kenya,KEN,1.0,38.0
1,rio-2016,men,S,ETH,feyisa lilesa,2:09:54.00,,Ethiopia,ETH,8.0,38.0,Ethiopia,ETH,8.0,38.0,Ethiopia,ETH,8.0,38.0
2,rio-2016,men,B,USA,galen rupp,2:10:05.00,,United States,USA,38.0,-97.0,United States,USA,38.0,-97.0,United States,USA,38.0,-97.0
3,rio-2016,men,4,ERI,ghirmay ghebreslassie,2:11:04.00,,Eritrea,ERI,15.0,39.0,Eritrea,ERI,15.0,39.0,Eritrea,ERI,15.0,39.0
4,rio-2016,men,5,TAN,alphonce felix simbu,2:11:15.00,,Tanzania,TZA,-6.0,35.0,Tanzania,TZA,-6.0,35.0,Tanzania,TZA,-6.0,35.0
5,rio-2016,men,6,USA,jared ward,2:11:30.00,,United States,USA,38.0,-97.0,United States,USA,38.0,-97.0,United States,USA,38.0,-97.0
6,rio-2016,men,7,SUI,tadesse abraham,2:11:42.00,,Switzerland,CHE,47.0,8.0,Switzerland,CHE,47.0,8.0,Switzerland,CHE,47.0,8.0
7,rio-2016,men,8,UGA,munyo solomon mutai,2:11:49.00,,Uganda,UGA,1.0,32.0,Uganda,UGA,1.0,32.0,Uganda,UGA,1.0,32.0
8,rio-2016,men,9,GBR,callum hawkins,2:11:52.00,,United Kingdom[18],GBR,54.0,-2.0,United Kingdom[18],GBR,54.0,-2.0,United Kingdom[18],GBR,54.0,-2.0
9,rio-2016,men,10,CAN,eric gillis,2:12:29.00,,Canada,CAN,60.0,-95.0,Canada,CAN,60.0,-95.0,Canada,CAN,60.0,-95.0
10,rio-2016,men,11,NED,abdi nageeye,2:13:01.00,,Netherlands,NLD,52.5,5.75,Netherlands,NLD,52.5,5.75,Netherlands,NLD,52.5,5.75
11,rio-2016,men,12,DJI,mumin gala,2:13:04.00,,Djibouti,DJI,11.5,43.0,Djibouti,DJI,11.5,43.0,Djibouti,DJI,11.5,43.0
12,rio-2016,men,13,ETH,lemi berhanu,2:13:29.00,,Ethiopia,ETH,8.0,38.0,Ethiopia,ETH,8.0,38.0,Ethiopia,ETH,8.0,38.0
13,rio-2016,men,14,UGA,stephen kiprotich,2:13:32.00,,Uganda,UGA,1.0,32.0,Uganda,UGA,1.0,32.0,Uganda,UGA,1.0,32.0
14,rio-2016,men,15,BRA,paulo roberto paula,2:13:56.00,,Brazil,BRA,-10.0,-55.0,Brazil,BRA,-10.0,-55.0,Brazil,BRA,-10.0,-55.0
15,rio-2016,men,16,JPN,satoru sasaki,2:13:57.00,,Japan,JPN,36.0,138.0,Japan,JPN,36.0,138.0,Japan,JPN,36.0,138.0
16,rio-2016,men,17,TUR,kaan kigen ozbilen,2:14:11.00,,Turkey,TUR,39.0,35.0,Turkey,TUR,39.0,35.0,Turkey,TUR,39.0,35.0
17,rio-2016,men,18,ECU,bayron piedra,2:14:12.00,,Ecuador,ECU,-2.0,-77.5,Ecuador,ECU,-2.0,-77.5,Ecuador,ECU,-2.0,-77.5
18,rio-2016,men,19,NOR,sondre nordstad moen,2:14:17.00,,Norway,NOR,62.0,10.0,Norway,NOR,62.0,10.0,Norway,NOR,62.0,10.0
19,rio-2016,men,20,UKR,oleksandr sitkovskyy,2:14:24.00,,Ukraine,UKR,49.0,32.0,Ukraine,UKR,49.0,32.0,Ukraine,UKR,49.0,32.0
20,rio-2016,men,21,ERI,amanuel mesel,2:14:37.00,,Eritrea,ERI,15.0,39.0,Eritrea,ERI,15.0,39.0,Eritrea,ERI,15.0,39.0
21,rio-2016,men,22,BEL,koen naert,2:14:53.00,,Belgium,BEL,50.8333,4.0,Belgium,BEL,50.8333,4.0,Belgium,BEL,50.8333,4.0
22,rio-2016,men,23,CAN,reid coolsaet,2:14:58.00,,Canada,CAN,60.0,-95.0,Canada,CAN,60.0,-95.0,Canada,CAN,60.0,-95.0
