,year,avg_time,ncompleted,nfinished,nstarted,disqualified
0,tokyo-1964,1900-01-01 02:30:27.231034368,58,10,11,0
1,london-1908,1900-01-01 03:21:33.903703552,27,27,16,1
2,london-1948,1900-01-01 02:47:24.346666752,30,11,3,0
3,london-2012,1900-01-01 02:20:35.505882368,85,20,0,0
4,paris-1900,1900-01-01 03:33:14.200000000,7,7,7,0
5,beijing-2008,1900-01-01 02:21:03.552631808,76,19,3,0
6,mexico-city-1968,1900-01-01 02:41:10.107017472,57,18,8,0
7,athens-2004,1900-01-01 02:22:21.888889088,81,20,1,0
8,athens-1896,1900-01-01 03:03:49.333333248,9,7,5,1
9,munich-1972,1900-01-01 02:28:36.309677568,62,12,2,0
10,paris-1924,1900-01-01 03:07:38.193333504,30,28,13,0
11,rio-2016,1900-01-01 02:22:22.841726976,139,15,0,1
12,barcelona-1992,1900-01-01 02:25:51.632184064,87,23,2,0
13,los-angeles-1932,1900-01-01 02:45:56.800000000,20,8,5,0
14,los-angeles-1984,1900-01-01 02:24:06.897435904,78,29,1,0
15,amsterdam-1928,1900-01-01 02:51:48.877192960,57,12,10,0
16,stockholm-1912,1900-01-01 02:59:54.797058816,34,34,30,0
17,st-louis-1904,1900-01-01 03:37:06.000000000,14,18,8,0
18,melbourne-1956,1900-01-01 02:41:42.181818112,33,13,2,0
19,helsinki-1952,1900-01-01 02:39:45.101886720,53,13,2,0
20,montreal-1976,1900-01-01 02:23:20.490000128,60,7,4,0
21,seoul-1988,1900-01-01 02:29:55.153061120,98,20,0,0
22,berlin-1936,1900-01-01 02:54:10.985714432,42,14,4,0
23,atlanta-1996,1900-01-01 02:26:18.441441792,111,13,0,0
24,sydney-2000,1900-01-01 02:23:34.580247040,81,19,0,0
25,antwerp-1920,1900-01-01 02:54:17.011428608,35,13,6,0
