,year,gender,event,date,time
0,1896,Men,Marathon,10 April,
1,1900,Men,Marathon,19 July,1430
2,1904,Men,Marathon,30 August,
3,1906,Men,Marathon,1 May,1505
4,1908,Men,Marathon,24 July,1433
5,1912,Men,Marathon,14 July,1348
6,1920,Men,Marathon,22 August,1612
7,1924,Men,Marathon,13 July,1700
8,1928,Men,Marathon,5 August,1514
9,1932,Men,Marathon,7 August,1530
10,1936,Men,Marathon,9 August,1500
11,1948,Men,Marathon,7 August,1500
12,1952,Men,Marathon,27 July,1525
13,1956,Men,Marathon,1 December,1515
14,1960,Men,Marathon,10 September,1730
15,1964,Men,Marathon,21 October,1300
16,1968,Men,Marathon,20 October,1500
17,1972,Men,Marathon,10 September,1500
18,1976,Men,Marathon,31 July,1730
19,1980,Men,Marathon,1 August,1715
20,1984,Men,Marathon,12 August,1715
21,1984,Women,Marathon,5 August,800
22,1988,Women,Marathon,23 September,930
23,1988,Men,Marathon,2 October,1435
24,1992,Men,Marathon,9 August,1830
25,1992,Women,Marathon,1 August,1830
26,1996,Women,Marathon,28 July,705
27,1996,Men,Marathon,4 August,705
28,2000,Women,Marathon,24 September,900
29,2000,Men,Marathon,1 October,1600
30,2004,Men,Marathon,29 August,1800
31,2004,Women,Marathon,22 August,1800
32,2008,Men,Marathon,24 August,730
33,2008,Women,Marathon,17 August,730
34,2012,Men,Marathon,12 August,1100
35,2012,Women,Marathon,5 August,1100
36,2016,Men,Marathon,21 August,930
37,2016,Women,Marathon,14 August,930
